año,empresa,establecimiento,rubro,region,provincia,comuna,latitud,longitud,tipo_fuente,combustible_primario,contaminante,cantidad_toneladas
2020.0,METHANEX CHILE SA,METHANEX CHILE S.A.,"Industria química, de plástico y caucho",Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,-52.94028404,-70.81235468,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),-
2020.0,SOPROLE S.A.,SOPROLE,Otras industrias manufactureras,Metropolitana,Maipo,San Bernardo,-33.55180253,-70.70013893,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),-
2020.0,EMPRESAS CAROZZI S A,PLANTA AGROZZI TENO,Otras industrias manufactureras,Maule,Curicó,Teno,-34.87554346,-71.14225762,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),-
2020.0,EMPRESAS CAROZZI S A,PLANTA AGROZZI TENO,Otras industrias manufactureras,Maule,Curicó,Teno,-34.87554346,-71.14225762,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),-
2020.0,SQM INDUSTRIAL S.A.,FAENA COYA SUR,"Industria química, de plástico y caucho",Antofagasta,Tocopilla,María Elena,-22.39896832,-69.62044438,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),-
2020.0,SOPROLE S.A.,SOPROLE,Otras industrias manufactureras,Metropolitana,Maipo,San Bernardo,-33.55180253,-70.70013893,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),-
2020.0,ORIZON S A,PLANTA PONIENTE ORIZON,Pesca y acuicultura,Biobío,Concepción,Coronel,-37.02273643,-73.1637208,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Licuado de Petróleo,Dióxido de azufre (SO2),-
2020.0,CMPC TISSUE S A,PLANTA TISSUE TALAGANTE,Industria del papel y celulosa,Metropolitana,Talagante,Talagante,-33.70091461,-70.9336289,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),-
2020.0,CORPESCA S A,PLANTA MEJILLONES,Otras industrias manufactureras,Antofagasta,Antofagasta,Mejillones,-23.09327208,-70.42602376,Caldera Industrial (Generadora de Vapor o Agua Caliente),Petróleo N 6,Dióxido de azufre (SO2),-
2020.0,CORPESCA S A,PLANTA MEJILLONES,Otras industrias manufactureras,Antofagasta,Antofagasta,Mejillones,-23.09327208,-70.42602376,Caldera Industrial (Generadora de Vapor o Agua Caliente),Petróleo N 6,Dióxido de azufre (SO2),-
2020.0,DUKE ENERGY INTERNATIONAL CHILE HOLDING II B V EN COMANDITA POR ACCION,YUNGAY (EX CAMPANARIO),Termoeléctricas,Biobío,Biobío,Cabrero,-37.10610838,-72.29303016,Turbina de Gas,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,CORPESCA S A,PLANTA MEJILLONES,Otras industrias manufactureras,Antofagasta,Antofagasta,Mejillones,-23.09327208,-70.42602376,Caldera Industrial (Generadora de Vapor o Agua Caliente),Petróleo N 6,Dióxido de azufre (SO2),-
2020.0,DUKE ENERGY INTERNATIONAL CHILE HOLDING II B V EN COMANDITA POR ACCION,YUNGAY (EX CAMPANARIO),Termoeléctricas,Biobío,Biobío,Cabrero,-37.10610838,-72.29303016,Turbina de Gas,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,DUKE ENERGY INTERNATIONAL CHILE HOLDING II B V EN COMANDITA POR ACCION,YUNGAY (EX CAMPANARIO),Termoeléctricas,Biobío,Biobío,Cabrero,-37.10610838,-72.29303016,Turbina de Gas,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,EMPRESA ELECTRICA DIEGO DE ALMAGRO SPA.,EMPRESA ELECTRICA DIEGO DE ALMAGRO,Termoeléctricas,Atacama,Chañaral,Diego de Almagro,-26.38037245,-70.02221007,Turbina de Gas,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,COMPANIA AGRICOLA Y LECHERA QUILLAYES DE PETEROA SPA,PLANTA CALERA DE TANGO,Otras industrias manufactureras,Metropolitana,Maipo,Calera de Tango,-33.6507807,-70.8322301,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),-
2020.0,EMPRESA ELECTRICA DIEGO DE ALMAGRO SPA.,EMPRESA ELECTRICA DIEGO DE ALMAGRO,Termoeléctricas,Atacama,Chañaral,Diego de Almagro,-26.38037245,-70.02221007,Turbina de Gas,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,CORPESCA S A,PLANTA MEJILLONES,Otras industrias manufactureras,Antofagasta,Antofagasta,Mejillones,-23.09327208,-70.42602376,Caldera Industrial (Generadora de Vapor o Agua Caliente),Petróleo N 6,Dióxido de azufre (SO2),-
2020.0,CERVECERA CCU CHILE LIMITADA,CERVECERA CCU CHILE LTDA. (2),Otras industrias manufactureras,Metropolitana,Santiago,Quilicura,-33.36098096,-70.70325284,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),-
2020.0,CORPESCA S A,PLANTA MEJILLONES,Otras industrias manufactureras,Antofagasta,Antofagasta,Mejillones,-23.09327208,-70.42602376,Caldera de Fluido Térmico,Petróleo N 6,Dióxido de azufre (SO2),-
2020.0,SUGAL CHILE LIMITADA,SUGAL CHILE PLANTA TALCA,Otras industrias manufactureras,Maule,Talca,Talca,-35.44425794,-71.60803428,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Licuado de Petróleo,Dióxido de azufre (SO2),-
2020.0,SUGAL CHILE LIMITADA,SUGAL CHILE PLANTA TALCA,Otras industrias manufactureras,Maule,Talca,Talca,-35.44425794,-71.60803428,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Licuado de Petróleo,Dióxido de azufre (SO2),-
2020.0,ENLASA GENERACION CHILE S.A.,CENTRAL TERMOELÉCTRICA DIEGO DE ALMAGRO,Termoeléctricas,Atacama,Chañaral,Diego de Almagro,-26.40091683,-70.03788045,Turbina de Gas,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,ENLASA GENERACION CHILE S.A.,CENTRAL TERMOELÉCTRICA DIEGO DE ALMAGRO,Termoeléctricas,Atacama,Chañaral,Diego de Almagro,-26.40091683,-70.03788045,Turbina de Gas,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,SUGAL CHILE LIMITADA,SUGAL CHILE PLANTA TALCA,Otras industrias manufactureras,Maule,Talca,Talca,-35.44425794,-71.60803428,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Licuado de Petróleo,Dióxido de azufre (SO2),-
2020.0,SQM INDUSTRIAL S.A.,FAENA COYA SUR,"Industria química, de plástico y caucho",Antofagasta,Tocopilla,María Elena,-22.39896832,-69.62044438,Caldera Industrial (Generadora de Vapor o Agua Caliente),Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,IANSAGRO S A,IANSAGRO PLANTA ÑUBLE,Otras industrias manufactureras,Ñuble,Punilla,San Carlos,-36.51729735,-72.05750926,Caldera Industrial (Generadora de Vapor o Agua Caliente),Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,DUKE ENERGY INTERNATIONAL CHILE HOLDING II B V EN COMANDITA POR ACCION,YUNGAY (EX CAMPANARIO),Termoeléctricas,Biobío,Biobío,Cabrero,-37.10610838,-72.29303016,Turbina de Gas,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,IANSAGRO S A,IANSAGRO PLANTA ÑUBLE,Otras industrias manufactureras,Ñuble,Punilla,San Carlos,-36.51729735,-72.05750926,Caldera Industrial (Generadora de Vapor o Agua Caliente),Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,SOPROLE S.A.,SOPROLE,Otras industrias manufactureras,Metropolitana,Maipo,San Bernardo,-33.55180253,-70.70013893,Caldera Agua Caliente,Gas Licuado de Petróleo,Dióxido de azufre (SO2),-
2020.0,SOPROLE S.A.,SOPROLE,Otras industrias manufactureras,Metropolitana,Maipo,San Bernardo,-33.55180253,-70.70013893,Caldera Agua Caliente,Gas Licuado de Petróleo,Dióxido de azufre (SO2),-
2020.0,EMPRESA ELECTRICA COCHRANE S.P.A.,CENTRAL TERMOELÉCTRICA COCHRANE,Termoeléctricas,Antofagasta,Antofagasta,Mejillones,-23.06424459,-70.37617361,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),-
2020.0,EMPRESA ELECTRICA ANGAMOS S.A.,CENTRAL TERMOELÉCTRICA ANGAMOS,Termoeléctricas,Antofagasta,Antofagasta,Mejillones,-23.06858082,-70.3687702,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),-
2020.0,ENGIE ENERGIA CHILE S.A.,CENTRAL TÉRMICA MEJILLONES,Termoeléctricas,Antofagasta,Antofagasta,Mejillones,-23.08942523,-70.41189629,Caldera de Generación Eléctrica,Carbón Sub Bituminoso,Dióxido de azufre (SO2),-
2020.0,GUACOLDA ENERGIA S.A,GUACOLDA,Termoeléctricas,Atacama,Huasco,Huasco,-28.46860974,-71.25437653,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),-
2020.0,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,Minería,Valparaíso,Valparaíso,Puchuncaví,-32.76486898,-71.48281651,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),10422
2020.0,EMPRESA ELECTRICA ANGAMOS S.A.,CENTRAL TERMOELÉCTRICA ANGAMOS,Termoeléctricas,Antofagasta,Antofagasta,Mejillones,-23.06858082,-70.3687702,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"3956,19"
2020.0,COMPLEJO METALURGICO ALTONORTE SA,FUNDICION ALTONORTE,Otras industrias manufactureras,Antofagasta,Antofagasta,Antofagasta,-23.8229124,-70.31647813,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Natural,Dióxido de azufre (SO2),"3002,35"
2020.0,COMPLEJO METALURGICO ALTONORTE SA,FUNDICION ALTONORTE,Otras industrias manufactureras,Antofagasta,Antofagasta,Antofagasta,-23.8229124,-70.31647813,Horno de Refino,Petróleo N 6,Dióxido de azufre (SO2),"3002,35"
2020.0,COMPLEJO METALURGICO ALTONORTE SA,FUNDICION ALTONORTE,Otras industrias manufactureras,Antofagasta,Antofagasta,Antofagasta,-23.8229124,-70.31647813,Horno de Refino,Petróleo N 6,Dióxido de azufre (SO2),"3002,35"
2020.0,COMPLEJO METALURGICO ALTONORTE SA,FUNDICION ALTONORTE,Otras industrias manufactureras,Antofagasta,Antofagasta,Antofagasta,-23.8229124,-70.31647813,Convertidor Pierce Smith (CPS),Petróleo N 6,Dióxido de azufre (SO2),"3002,35"
2020.0,EMPRESA NACIONAL DE MINERIA,FUNDICION  HERNAN  VIDELA  LIRA,Otras industrias manufactureras,Atacama,Copiapó,Copiapó,-27.42111646,-70.25909037,Horno Basculante - Refinamiento a Fuego,Petróleo N 6,Dióxido de azufre (SO2),"2666,67"
2020.0,EMPRESA NACIONAL DE MINERIA,FUNDICION  HERNAN  VIDELA  LIRA,Otras industrias manufactureras,Atacama,Copiapó,Copiapó,-27.42111646,-70.25909037,Convertidor Pierce Smith (CPS),Petróleo N 6,Dióxido de azufre (SO2),"2666,67"
2020.0,EMPRESA NACIONAL DE MINERIA,FUNDICION  HERNAN  VIDELA  LIRA,Otras industrias manufactureras,Atacama,Copiapó,Copiapó,-27.42111646,-70.25909037,Convertidor Teniente (CT),Petróleo N 6,Dióxido de azufre (SO2),"2666,67"
2020.0,MELON S.A.,CEMENTO MELÓN PLANTA LA CALERA,"Producción de cemento, cal y yeso",Valparaíso,Quillota,Calera,-32.79028465,-71.20052585,Horno Rotatorio,Carbón Coke,Dióxido de azufre (SO2),"2271,011592"
2020.0,GUACOLDA ENERGIA S.A,GUACOLDA,Termoeléctricas,Atacama,Huasco,Huasco,-28.46860974,-71.25437653,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"2140,64"
2020.0,CEMENTO POLPAICO S A,PLANTA CERRO BLANCO  - TIL TIL,"Producción de cemento, cal y yeso",Metropolitana,Chacabuco,Tiltil,-33.1547304,-70.82972434,Horno Rotatorio,Coke de Petróleo (Petcoke),Dióxido de azufre (SO2),"1974,451793"
2020.0,ENEL GENERACION CHILE S.A.,CENTRAL TERMOELECTRICA BOCAMINA U1,Termoeléctricas,Biobío,Concepción,Coronel,-37.02113521,-73.16567023,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"1827,01"
2020.0,EMPRESA ELECTRICA COCHRANE S.P.A.,CENTRAL TERMOELÉCTRICA COCHRANE,Termoeléctricas,Antofagasta,Antofagasta,Mejillones,-23.06424459,-70.37617361,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"1774,66"
2020.0,EMPRESA ELECTRICA VENTANAS S.A,CENTRAL TERMOELÉCTRICA NUEVA VENTANAS,Termoeléctricas,Valparaíso,Valparaíso,Puchuncaví,-32.75250322,-71.47933591,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"1749,02"
2020.0,EMPRESA ELECTRICA CAMPICHE S.A.,CENTRAL TERMOELECTRICA CAMPICHE,Termoeléctricas,Valparaíso,Valparaíso,Puchuncaví,-32.75252209,-71.47929375,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"1651,4"
2020.0,CEMENTOS BIO BIO DEL SUR S.A.,Bio Bio Cementos S.A.,"Producción de cemento, cal y yeso",Biobío,Concepción,Talcahuano,-36.74132056,-73.1197043,Horno Rotatorio,Coke de Petróleo (Petcoke),Dióxido de azufre (SO2),"1540,852294"
2020.0,CENTRAL TERMOELECTRICA ANDINA S A,CENTRAL TERMICA ANDINA,Termoeléctricas,Antofagasta,Antofagasta,Mejillones,-23.08569494,-70.4078842,Caldera de Generación Eléctrica,Carbón Sub Bituminoso,Dióxido de azufre (SO2),"1349,25"
2020.0,COLBUN S A,COMPLEJO TERMOELECTRICO SANTA MARIA,Termoeléctricas,Biobío,Concepción,Coronel,-37.0411339,-73.13094162,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"1342,33"
2020.0,AES GENER S A,CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2,Termoeléctricas,Valparaíso,Valparaíso,Puchuncaví,-32.75255771,-71.47931608,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"1125,97"
2020.0,AES GENER S A,CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA,Termoeléctricas,Antofagasta,Tocopilla,Tocopilla,-22.09557627,-70.21025147,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"947,99"
2020.0,CENTRAL TERMOELECTRICA ANDINA S A,CENTRAL TERMICA ANDINA,Termoeléctricas,Antofagasta,Antofagasta,Mejillones,-23.08569494,-70.4078842,Caldera de Generación Eléctrica,Carbón Sub Bituminoso,Dióxido de azufre (SO2),"933,5"
2020.0,AES GENER S A,CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA,Termoeléctricas,Antofagasta,Tocopilla,Tocopilla,-22.09557627,-70.21025147,Caldera de Generación Eléctrica,Carbón Bituminoso Pulverizado,Dióxido de azufre (SO2),"796,56"
